"metabolite";"Time";"Treatment";"P_Value";"Rho"
"Alanine";15;"C";1;-0.00606060606060606
"Alanine";15;"Fe";0.0172233245149912;-0.783333333333333
"Alanine";15;"P";0.0490426316833764;-0.648484848484848
"Alanine";30;"C";0.0957915691435819;-0.563636363636364
"Alanine";30;"Fe";0.0275141191111855;-0.709090909090909
"Alanine";30;"P";0.0098441361663116;-0.793939393939394
"Alanine";60;"C";0.0116512675298474;-0.781818181818182
"Alanine";60;"Fe";0.00138026714145766;-0.890909090909091
"Alanine";60;"P";0.469675250206491;-0.260606060606061
"Alanine";120;"C";0.0136717821032753;-0.76969696969697
"Alanine";120;"Fe";0.132823060175966;-0.515151515151515
"Alanine";120;"P";0.0116512675298474;-0.781818181818182
"Arginine";15;"C";1;-0.00606060606060606
"Arginine";15;"Fe";0.62163273730088;0.191485421551268
"Arginine";15;"P";0.00555680454585398;0.83030303030303
"Arginine";30;"C";0.204200583289326;0.442424242424242
"Arginine";30;"Fe";0.14336680194002;0.503030303030303
"Arginine";30;"P";0.0664691374895167;0.612121212121212
"Arginine";60;"C";0.178219329270541;0.466666666666667
"Arginine";60;"Fe";0.00154747245550379;0.85666839728859
"Arginine";60;"P";0.0311410954595681;0.696969696969697
"Arginine";120;"C";0.0275141191111856;0.709090909090909
"Arginine";120;"Fe";0.0659722311005178;-0.601252610966769
"Arginine";120;"P";0.469675250206491;0.260606060606061
"Asparagine";15;"C";0.26288678352469;0.393939393939394
"Asparagine";15;"Fe";0.0665619488536155;-0.65
"Asparagine";15;"P";0.0068111327718268;0.818181818181818
"Asparagine";30;"C";0.262886783524689;-0.393939393939394
"Asparagine";30;"Fe";0.0159208292880929;-0.757575757575757
"Asparagine";30;"P";0.000880224994754143;0.903030303030303
"Asparagine";60;"C";0.0136717821032753;-0.76969696969697
"Asparagine";60;"Fe";0.190932019316111;-0.454545454545455
"Asparagine";60;"P";0.0136717821032753;0.76969696969697
"Asparagine";120;"C";0.00268141517103887;-0.866666666666667
"Asparagine";120;"Fe";0.00268141517103887;-0.866666666666667
"Asparagine";120;"P";0.000130162394465275;0.927272727272727
"Aspartate";15;"C";0.0490426316833764;-0.648484848484848
"Aspartate";15;"Fe";0.520634920634921;-0.25
"Aspartate";15;"P";0.0490426316833765;0.648484848484848
"Aspartate";30;"C";0.367683999158498;-0.321212121212121
"Aspartate";30;"Fe";0.190932019316111;-0.454545454545455
"Aspartate";30;"P";0.26288678352469;0.393939393939394
"Aspartate";60;"C";0.972841176143636;0.0181818181818182
"Aspartate";60;"Fe";0.864753528804526;-0.0666666666666667
"Aspartate";60;"P";0.0802150639781516;0.587878787878788
"Aspartate";120;"C";0.0184138413143277;-0.745454545454545
"Aspartate";120;"Fe";0.0159208292880929;-0.757575757575757
"Aspartate";120;"P";0.312800267381167;0.357575757575757
"Citrulline";15;"C";0.491555497342584;-0.248484848484848
"Citrulline";15;"Fe";0.00450837742504409;-0.866666666666667
"Citrulline";15;"P";0.387054968154447;0.309090909090909
"Citrulline";30;"C";0.559908079271241;0.212121212121212
"Citrulline";30;"Fe";0.864753528804526;-0.0666666666666667
"Citrulline";30;"P";0.312800267381167;-0.357575757575757
"Citrulline";60;"C";0.864753528804526;-0.0666666666666667
"Citrulline";60;"Fe";0.491555497342584;-0.248484848484848
"Citrulline";60;"P";0.204200583289326;-0.442424242424242
"Citrulline";120;"C";0.631967363906089;0.175757575757576
"Citrulline";120;"Fe";0.491555497342584;-0.248484848484848
"Citrulline";120;"P";0.536688086753551;-0.224242424242424
"GABA";15;"C";0.000880224994754143;0.903030303030303
"GABA";15;"Fe";0.0665619488536155;0.65
"GABA";15;"P";0;0.987878787878788
"GABA";30;"C";0.0184138413143277;0.745454545454545
"GABA";30;"Fe";0;0.939393939393939
"GABA";30;"P";0;0.951515151515151
"GABA";60;"C";0.0019770587107552;0.878787878787879
"GABA";60;"Fe";0.406950227375658;0.296969696969697
"GABA";60;"P";0;0.975757575757576
"GABA";120;"C";0.0275141191111856;0.709090909090909
"GABA";120;"Fe";0.0098441361663116;0.793939393939394
"GABA";120;"P";0.00823557082285116;0.806060606060606
"Glutamate";15;"C";0.469675250206491;-0.260606060606061
"Glutamate";15;"Fe";0.161800044091711;0.516666666666667
"Glutamate";15;"P";0.10429776397167;0.551515151515151
"Glutamate";30;"C";0.607566897460635;-0.187878787878788
"Glutamate";30;"Fe";0.178219329270541;0.466666666666667
"Glutamate";30;"P";0.295604089197811;0.36969696969697
"Glutamate";60;"C";0.113298067042129;0.539393939393939
"Glutamate";60;"Fe";1;0.00606060606060606
"Glutamate";60;"P";0.0544450679375418;0.636363636363636
"Glutamate";120;"C";0.656721421523199;-0.163636363636364
"Glutamate";120;"Fe";0.681807643477163;-0.151515151515151
"Glutamate";120;"P";0.811416953056797;0.0909090909090909
"Glutamine";15;"C";0.0877680432613642;0.575757575757576
"Glutamine";15;"Fe";0.613403880070547;-0.2
"Glutamine";15;"P";0.0602489828244726;0.624242424242424
"Glutamine";30;"C";0.972841176143636;0.0181818181818182
"Glutamine";30;"Fe";0.0731198750392827;0.6
"Glutamine";30;"P";0.000880224994754143;0.903030303030303
"Glutamine";60;"C";0.00445902899690778;0.842424242424242
"Glutamine";60;"Fe";0.278965216116317;-0.381818181818182
"Glutamine";60;"P";0.0350915379341639;0.684848484848485
"Glutamine";120;"C";0.631967363906088;-0.175757575757576
"Glutamine";120;"Fe";0.0136717821032753;-0.76969696969697
"Glutamine";120;"P";0;0.951515151515151
"Glycine";15;"C";0.448272158936988;0.272727272727273
"Glycine";15;"Fe";0.249917328042328;0.433333333333333
"Glycine";15;"P";0.0440265528478426;-0.660606060606061
"Glycine";30;"C";0.864753528804526;0.0666666666666667
"Glycine";30;"Fe";0.132823060175966;0.515151515151515
"Glycine";30;"P";0.00823557082285114;-0.806060606060606
"Glycine";60;"C";0.0159208292880929;0.757575757575757
"Glycine";60;"Fe";0.154442672733181;0.490909090909091
"Glycine";60;"P";0.0393814092829061;-0.672727272727273
"Glycine";120;"C";0.583540584566421;0.2
"Glycine";120;"Fe";0.607566897460635;0.187878787878788
"Glycine";120;"P";0.583540584566421;0.2
"Histidine";15;"C";0.013711884904507;0.743484411410521
"Histidine";15;"P";0.0241945875284697;0.721212121212121
"Histidine";30;"C";0.0092742209381247;0.769344738763931
"Histidine";30;"P";0.0311410954595681;0.696969696969697
"Histidine";60;"C";0.232794410184675;0.415199436886146
"Histidine";60;"P";0.0136717821032753;0.76969696969697
"Histidine";120;"C";0.102478834255712;0.546053376034465
"Histidine";120;"P";0;1
"Isoleucine";15;"C";0.00268141517103888;0.866666666666667
"Isoleucine";15;"Fe";0.177662037037037;-0.5
"Isoleucine";15;"P";0.0275141191111856;0.709090909090909
"Isoleucine";30;"C";0;0.975757575757576
"Isoleucine";30;"Fe";0.278965216116317;-0.381818181818182
"Isoleucine";30;"P";0.00138026714145767;0.890909090909091
"Isoleucine";60;"C";0.00268141517103888;0.866666666666667
"Isoleucine";60;"Fe";0.427359698875701;-0.284848484848485
"Isoleucine";60;"P";0.0116512675298474;0.781818181818182
"Isoleucine";120;"C";0.000466722165549449;0.915151515151515
"Isoleucine";120;"Fe";0.00268141517103887;-0.866666666666667
"Isoleucine";120;"P";0;0.951515151515151
"Leucine";15;"C";0.0544450679375418;0.636363636363636
"Leucine";15;"Fe";0.000165343915343915;-0.966666666666667
"Leucine";15;"P";0.00138026714145767;0.890909090909091
"Leucine";30;"C";0.247370787611931;0.406060606060606
"Leucine";30;"Fe";0;-0.963636363636364
"Leucine";30;"P";0.00138026714145767;0.890909090909091
"Leucine";60;"C";0.10429776397167;-0.551515151515151
"Leucine";60;"Fe";0.0241945875284697;-0.721212121212121
"Leucine";60;"P";0.000130162394465275;0.927272727272727
"Leucine";120;"C";0.732886836413125;-0.127272727272727
"Leucine";120;"Fe";0.0019770587107552;-0.878787878787879
"Leucine";120;"P";0;0.951515151515151
"Lysine";15;"C";0.00138026714145766;-0.890909090909091
"Lysine";15;"Fe";0.410080467372134;0.316666666666667
"Lysine";15;"P";0.536688086753551;0.224242424242424
"Lysine";30;"C";0.0098441361663116;-0.793939393939394
"Lysine";30;"Fe";0.0275141191111855;-0.709090909090909
"Lysine";30;"P";0.12280318761783;0.527272727272727
"Lysine";60;"C";0.58354058456642;-0.2
"Lysine";60;"Fe";0.178219329270542;-0.466666666666667
"Lysine";60;"P";0.758833070490857;-0.115151515151515
"Lysine";120;"C";0.330549465992496;-0.345454545454545
"Lysine";120;"Fe";0.312800267381167;0.357575757575757
"Lysine";120;"P";0.656721421523199;-0.163636363636364
"Methionine";15;"C";0.513898326223936;0.236363636363636
"Methionine";15;"Fe";0.809981261022928;-0.1
"Methionine";15;"P";0.278965216116317;-0.381818181818182
"Methionine";30;"C";0.0602489828244726;0.624242424242424
"Methionine";30;"Fe";0.00445902899690778;0.842424242424242
"Methionine";30;"P";0.536688086753551;-0.224242424242424
"Methionine";60;"C";0.0311410954595681;0.696969696969697
"Methionine";60;"Fe";0.0544450679375418;0.636363636363636
"Methionine";60;"P";0.278965216116317;-0.381818181818182
"Methionine";120;"C";0.00823557082285116;0.806060606060606
"Methionine";120;"Fe";0.864753528804526;-0.0666666666666667
"Methionine";120;"P";0.247370787611931;0.406060606060606
"Norvaline";15;"C";0.607566897460635;-0.187878787878788
"Norvaline";15;"Fe";0.0213899911816578;0.766666666666667
"Norvaline";15;"P";0.448272158936988;-0.272727272727273
"Norvaline";30;"C";0.295604089197812;-0.36969696969697
"Norvaline";30;"Fe";0.295604089197811;0.36969696969697
"Norvaline";30;"P";0.972841176143636;-0.0181818181818182
"Norvaline";60;"C";1;-0.00606060606060606
"Norvaline";60;"Fe";0.0159208292880929;0.757575757575757
"Norvaline";60;"P";0.707203785571239;-0.139393939393939
"Norvaline";120;"C";0.0490426316833765;0.648484848484848
"Norvaline";120;"Fe";0.785018103976204;-0.103030303030303
"Norvaline";120;"P";0.348846243872153;0.333333333333333
"Ornithine";15;"C";0.12280318761783;-0.527272727272727
"Ornithine";15;"Fe";0.520634920634921;-0.25
"Ornithine";15;"P";0.681807643477163;-0.151515151515151
"Ornithine";30;"C";0.0136717821032753;-0.76969696969697
"Ornithine";30;"Fe";0.681807643477163;-0.151515151515151
"Ornithine";30;"P";0.095791569143582;0.563636363636364
"Ornithine";60;"C";0.94570980835199;0.0303030303030303
"Ornithine";60;"Fe";0.0393814092829061;-0.672727272727273
"Ornithine";60;"P";0.12619736664662;0.516719712128055
"Ornithine";120;"C";0.312800267381167;-0.357575757575757
"Ornithine";120;"Fe";0.295604089197811;0.36969696969697
"Ornithine";120;"P";0.566695138006874;0.206687884851222
"Phenylalanine";15;"C";0.00138026714145766;-0.890909090909091
"Phenylalanine";15;"Fe";0.00202821869488536;-0.9
"Phenylalanine";15;"P";0.0544450679375418;0.636363636363636
"Phenylalanine";30;"C";0;-0.987878787878788
"Phenylalanine";30;"Fe";0.00138026714145766;-0.890909090909091
"Phenylalanine";30;"P";0.387054968154447;0.309090909090909
"Phenylalanine";60;"C";0;-0.987878787878788
"Phenylalanine";60;"Fe";0.0068111327718268;-0.818181818181818
"Phenylalanine";60;"P";0.312800267381167;-0.357575757575757
"Phenylalanine";120;"C";0.00138026714145766;-0.890909090909091
"Phenylalanine";120;"Fe";0.0350915379341638;-0.684848484848485
"Phenylalanine";120;"P";0.178219329270542;-0.466666666666667
"Proline";15;"C";0;-0.975757575757576
"Proline";15;"Fe";0.00307539682539683;-0.883333333333333
"Proline";15;"P";0.00555680454585395;-0.83030303030303
"Proline";30;"C";0.0068111327718268;-0.818181818181818
"Proline";30;"Fe";0.0159208292880929;-0.757575757575757
"Proline";30;"P";0.0159208292880929;-0.757575757575757
"Proline";60;"C";0.12280318761783;-0.527272727272727
"Proline";60;"Fe";0.00268141517103887;-0.866666666666667
"Proline";60;"P";0.00268141517103887;-0.866666666666667
"Proline";120;"C";0;-0.963636363636364
"Proline";120;"Fe";0.166058037179348;-0.478787878787879
"Proline";120;"P";0;-0.975757575757576
"Serine";15;"C";0.0098441361663116;-0.793939393939394
"Serine";15;"Fe";0.229817019400353;-0.45
"Serine";15;"P";0.0098441361663116;-0.793939393939394
"Serine";30;"C";0;-0.951515151515151
"Serine";30;"Fe";0.00555680454585395;-0.83030303030303
"Serine";30;"P";0;-0.939393939393939
"Serine";60;"C";0.0311410954595681;-0.696969696969697
"Serine";60;"Fe";0.00823557082285114;-0.806060606060606
"Serine";60;"P";0;-0.939393939393939
"Serine";120;"C";0.000880224994754135;-0.903030303030303
"Serine";120;"Fe";0.0393814092829061;-0.672727272727273
"Serine";120;"P";0.10429776397167;-0.551515151515151
"Threonine";15;"C";1;-0.00606060606060606
"Threonine";15;"Fe";0.0138282627865961;-0.8
"Threonine";15;"P";0.0116512675298474;0.781818181818182
"Threonine";30;"C";0.491555497342584;-0.248484848484848
"Threonine";30;"Fe";0.00823557082285114;-0.806060606060606
"Threonine";30;"P";0.00823557082285116;0.806060606060606
"Threonine";60;"C";0.0664691374895168;-0.612121212121212
"Threonine";60;"Fe";0.12280318761783;-0.527272727272727
"Threonine";60;"P";0.0098441361663116;0.793939393939394
"Threonine";120;"C";0.94570980835199;0.0303030303030303
"Threonine";120;"Fe";0.190932019316111;-0.454545454545455
"Threonine";120;"P";0.00138026714145767;0.890909090909091
"Tryptophan";15;"C";0.0116512675298474;-0.781818181818182
"Tryptophan";15;"Fe";0.107997134038801;0.583333333333333
"Tryptophan";15;"P";0;-0.951515151515151
"Tryptophan";30;"C";0.0019770587107552;-0.878787878787879
"Tryptophan";30;"Fe";0.0311410954595681;0.696969696969697
"Tryptophan";30;"P";0.00138026714145766;-0.890909090909091
"Tryptophan";60;"C";0.513898326223936;-0.236363636363636
"Tryptophan";60;"Fe";0.0241945875284697;0.721212121212121
"Tryptophan";60;"P";0.0068111327718268;-0.818181818181818
"Tryptophan";120;"C";0.132823060175966;-0.515151515151515
"Tryptophan";120;"Fe";0.536688086753551;0.224242424242424
"Tryptophan";120;"P";0;-0.939393939393939
"Tyrosine";15;"C";0.00350474436797717;-0.854545454545454
"Tyrosine";15;"Fe";0.462990520282187;0.283333333333333
"Tyrosine";15;"P";0.00555680454585398;0.83030303030303
"Tyrosine";30;"C";0.00268141517103887;-0.866666666666667
"Tyrosine";30;"Fe";0.0544450679375418;0.636363636363636
"Tyrosine";30;"P";0.387054968154447;0.309090909090909
"Tyrosine";60;"C";0.0184138413143277;-0.745454545454545
"Tyrosine";60;"Fe";0.12280318761783;-0.527272727272727
"Tyrosine";60;"P";0.583540584566421;0.2
"Tyrosine";120;"C";0.000466722165549445;-0.915151515151515
"Tyrosine";120;"Fe";0.732886836413125;0.127272727272727
"Tyrosine";120;"P";0.785018103976205;0.103030303030303
"Valine";15;"C";0.00268141517103888;0.866666666666667
"Valine";15;"Fe";0.0760361552028219;-0.633333333333333
"Valine";15;"P";0.0159208292880929;0.757575757575757
"Valine";30;"C";0.12280318761783;0.527272727272727
"Valine";30;"Fe";0.0136717821032753;-0.76969696969697
"Valine";30;"P";0;0.951515151515151
"Valine";60;"C";0.12280318761783;-0.527272727272727
"Valine";60;"Fe";0.218028474590315;-0.43030303030303
"Valine";60;"P";0;0.975757575757576
"Valine";120;"C";0.94570980835199;0.0303030303030303
"Valine";120;"Fe";0.0159208292880929;-0.757575757575757
"Valine";120;"P";0;0.939393939393939
